county,obese_1,grade_category,sex
1.0,61.0,1.0,1.0
6.0,158.0,1.0,1.0
2.0,400.0,0.0,0.0
0.0,441.0,0.0,0.0
2.0,315.0,1.0,1.0
12.0,291.0,1.0,0.0
7.0,153.0,0.0,0.0
8.0,118.0,1.0,0.0
8.0,228.0,0.0,1.0
2.0,446.0,0.0,0.0
2.0,406.0,0.0,0.0
2.0,262.0,1.0,0.0
2.0,224.0,2.0,0.0
9.0,59.0,1.0,0.0
9.0,29.0,2.0,1.0
1.0,130.0,0.0,1.0
0.0,444.0,0.0,0.0
0.0,206.0,2.0,0.0
12.0,305.0,2.0,1.0
13.0,574.0,0.0,0.0
5.0,165.0,2.0,0.0
13.0,536.0,2.0,1.0
9.0,64.0,2.0,0.0
1.0,10.0,2.0,0.0
12.0,485.0,0.0,1.0
10.0,51.0,1.0,1.0
9.0,33.0,2.0,1.0
1.0,104.0,0.0,1.0
9.0,134.0,0.0,1.0
8.0,61.0,1.0,0.0
0.0,360.0,1.0,1.0
13.0,581.0,0.0,1.0
11.0,6.0,2.0,0.0
3.0,114.0,2.0,0.0
8.0,154.0,1.0,0.0
5.0,199.0,2.0,0.0
2.0,206.0,2.0,0.0
13.0,544.0,1.0,0.0
3.0,158.0,1.0,0.0
2.0,250.0,1.0,0.0
1.0,20.0,2.0,0.0
5.0,389.0,0.0,0.0
8.0,75.0,2.0,1.0
7.0,159.0,0.0,1.0
4.0,91.0,2.0,1.0
4.0,164.0,1.0,1.0
3.0,120.0,2.0,0.0
11.0,28.0,1.0,1.0
0.0,468.0,0.0,1.0
4.0,133.0,1.0,1.0
2.0,232.0,2.0,1.0
2.0,424.0,0.0,1.0
13.0,557.0,1.0,1.0
3.0,278.0,0.0,0.0
10.0,48.0,1.0,1.0
4.0,284.0,0.0,1.0
7.0,79.0,1.0,1.0
7.0,43.0,2.0,1.0
11.0,98.0,0.0,1.0
13.0,548.0,1.0,0.0
8.0,123.0,2.0,1.0
0.0,426.0,0.0,0.0
13.0,583.0,0.0,1.0
2.0,396.0,0.0,0.0
6.0,238.0,0.0,1.0
1.0,149.0,0.0,1.0
2.0,429.0,0.0,0.0
10.0,121.0,0.0,1.0
4.0,58.0,2.0,0.0
1.0,38.0,2.0,1.0
1.0,80.0,0.0,0.0
7.0,64.0,1.0,0.0
13.0,551.0,1.0,0.0
10.0,55.0,1.0,0.0
3.0,173.0,2.0,0.0
11.0,29.0,1.0,1.0
11.0,23.0,2.0,1.0
8.0,249.0,0.0,0.0
9.0,163.0,0.0,1.0
7.0,161.0,0.0,0.0
12.0,308.0,1.0,0.0
13.0,537.0,2.0,1.0
5.0,222.0,1.0,0.0
5.0,226.0,1.0,0.0
12.0,492.0,0.0,0.0
7.0,80.0,1.0,0.0
7.0,180.0,0.0,0.0
6.0,84.0,1.0,0.0
11.0,25.0,2.0,1.0
7.0,66.0,1.0,1.0
13.0,534.0,2.0,0.0
6.0,127.0,1.0,1.0
5.0,354.0,0.0,0.0
9.0,148.0,0.0,1.0
7.0,81.0,1.0,1.0
5.0,403.0,0.0,1.0
9.0,165.0,0.0,1.0
7.0,49.0,2.0,0.0
10.0,55.0,2.0,1.0
13.0,578.0,0.0,1.0
4.0,128.0,1.0,0.0
11.0,45.0,1.0,0.0
4.0,213.0,0.0,1.0
3.0,167.0,1.0,1.0
6.0,83.0,1.0,1.0
9.0,159.0,0.0,0.0
12.0,346.0,2.0,1.0
1.0,30.0,2.0,1.0
10.0,39.0,2.0,1.0
10.0,132.0,0.0,0.0
5.0,213.0,2.0,1.0
3.0,198.0,1.0,1.0
7.0,170.0,0.0,1.0
6.0,88.0,2.0,0.0
9.0,66.0,1.0,1.0
4.0,50.0,2.0,0.0
4.0,113.0,0.0,0.0
10.0,63.0,1.0,1.0
5.0,223.0,2.0,1.0
2.0,220.0,2.0,1.0
8.0,204.0,0.0,1.0
6.0,93.0,1.0,0.0
9.0,109.0,0.0,0.0
9.0,44.0,1.0,0.0
3.0,143.0,2.0,1.0
7.0,170.0,0.0,0.0
4.0,127.0,0.0,1.0
1.0,106.0,0.0,0.0
4.0,62.0,1.0,1.0
4.0,95.0,2.0,1.0
4.0,122.0,1.0,1.0
12.0,483.0,0.0,1.0
10.0,21.0,2.0,0.0
12.0,285.0,2.0,0.0
9.0,53.0,1.0,0.0
9.0,11.0,2.0,0.0
6.0,126.0,1.0,1.0
13.0,550.0,1.0,0.0
10.0,131.0,0.0,0.0
1.0,149.0,0.0,0.0
6.0,35.0,2.0,1.0
9.0,118.0,0.0,0.0
0.0,251.0,2.0,1.0
12.0,317.0,2.0,0.0
10.0,133.0,0.0,1.0
8.0,162.0,1.0,1.0
3.0,141.0,2.0,1.0
11.0,98.0,0.0,0.0
8.0,143.0,1.0,1.0
4.0,282.0,0.0,1.0
2.0,294.0,1.0,1.0
12.0,320.0,2.0,1.0
8.0,115.0,2.0,1.0
7.0,148.0,0.0,0.0
4.0,111.0,2.0,1.0
0.0,205.0,2.0,0.0
13.0,530.0,2.0,0.0
3.0,204.0,1.0,1.0
4.0,195.0,0.0,0.0
12.0,450.0,0.0,0.0
3.0,325.0,0.0,0.0
3.0,159.0,1.0,0.0
12.0,284.0,2.0,0.0
10.0,37.0,2.0,0.0
13.0,533.0,2.0,0.0
12.0,291.0,2.0,0.0
6.0,73.0,2.0,1.0
7.0,65.0,2.0,1.0
7.0,171.0,0.0,1.0
11.0,41.0,1.0,0.0
9.0,19.0,2.0,1.0
1.0,36.0,2.0,1.0
9.0,16.0,2.0,0.0
0.0,282.0,2.0,1.0
4.0,8.0,2.0,0.0
9.0,48.0,1.0,0.0
8.0,298.0,0.0,1.0
10.0,5.0,2.0,0.0
9.0,135.0,0.0,0.0
5.0,400.0,0.0,1.0
10.0,29.0,1.0,0.0
0.0,470.0,0.0,1.0
1.0,45.0,1.0,1.0
13.0,532.0,2.0,0.0
11.0,121.0,0.0,1.0
1.0,110.0,0.0,0.0
11.0,36.0,1.0,0.0
5.0,365.0,0.0,0.0
6.0,240.0,0.0,0.0
0.0,304.0,1.0,0.0
3.0,194.0,1.0,0.0
2.0,303.0,1.0,0.0
11.0,80.0,0.0,1.0
7.0,63.0,1.0,1.0
1.0,12.0,2.0,0.0
0.0,238.0,2.0,1.0
9.0,11.0,2.0,0.0
3.0,140.0,2.0,0.0
7.0,53.0,2.0,1.0
5.0,246.0,1.0,1.0
3.0,377.0,0.0,1.0
